,Tweets,Sentiment
0,stopped leaving india bangalore airport exit control list got passport back court order specifically trip us,Neutral
1, kanimozhidmk desi british passport holder always communicate hindi bangalore airport always speak kannada stay gestures,Neutral
2,loosing passport nightmare thank staff cisfhqrs bangalore airport helping find passport,Neutral
3, passportsevamea immigration brothers passport impounded immigration authority bangalore airport due high negligance passport authority system allowed travel shame value common person countryurgent action,Negetive
4,bengaluru passport lost bangalore airport visited rpo office twice already airport authority sent passport rpo office want official appointment app allow book passport hyderabad address kindly help,Positive
5,one officer bangalore airport immigration counter tore cousins passport intentionally restricted traveling clear harassment cmofkarnataka hd_kumaraswamy hmoindia rajnathsingh,Positive
6,forcefully quarantined hospital bangalore airport authority returned brazil without yellow fever vaccine hospital taken passport unfair allowed quarantine home blrairport mohfw_india pmoindia,Negetive
7,cant security bangalore airport use fastdry ink stamp passport boarding pass ink mess unhealthy folks ocd,Negetive
8,quite astonishing often show boarding card passport bangalore airport ever need security experts,Positive
9,bangalore airport dumbest security ever check bags passport 80 times walk right around without notice,Positive
10,hindu sri lankan indian passport caught bangalore airport,Neutral
11,kazisuhail friend allowed bangalore airport ie using xerox passport,Neutral
12,jayantsinha hello minister landed bangalore airport long time two peculiar things elsewhere like delhi 1 x ray screening immigration 2 another check whether passport stamped immigration,Negetive
13,two airports one day bangkok amp istanbul speed ease checkin security passport control boarding food shopping signs ease movements bathrooms cleanliness significantly better delhi mumbai bangalore airport nice location nightmare,Positive
14,took kannur passport center lesser time issue new passport immigration officer bangalore airport stamp passports 4 indians coming back home,Positive
15,british_airways bangalore airport ba asked fill form give passport details address provided details asked complain ba emp said receiving mobile far received anything british_airways,Positive
16,welcome change bangalore airport separate counter indian passport holders,Positive
17,bangalore airport finish immigration another official checks entry seal passport,Neutral
18,amybruni ran old friend waiting line passport check point bangalore airport seen years,Positive
19,  maam husband stoped bangalore airport saying passport revoked ad embassy,Neutral
20,lost passport bangalore airport lol day 1 one minute world ,Positive
21,dibpaustralia stranded bangalore airport visa associated old passport pr holder,Positive
22,nsitharaman hello madam 19 yr old son usa passport oci harassed bangalore airport customs 120 tv,Positive
23,stopped leaving india bangalore airport exit control list got passport back court order specifically trip us aakar patel tweeted rana ayyub ap,Neutral
24,bangalore airport immigration tried intimidate fossie answering stupid pajeety creamy questions like wher yar yoor furam told pajeets passport says pajeets knew passport holds weight let go,Negetive
25,yeah blr nice mumbai airport fave india hahaha one day tell story lost passport bangalore airport way back kerala kenya telling go back abu dhabi look woi httpstcowir9vqawuv,Positive
26,bangalore airport smoothest immigration amp customs process take corrupt bombay airport officers held passport hostage,Negetive
27,rickykej saying bangalore airport benchmark worst even top 10 worst sir global audience tweeting passport control offday would harm brand bangalore 30 min longer que passport control would,Negetive
28,today immigration officer bangalore airport foreign passport queue 330 rude unprofessional communication skills india welcoming visitors,Negetive
29,  passport impounded 10th june 2018 bangalore airport immigration bureau stating per system lost without giving opportunity heard lost money bookings without fault pleasehelpme,Neutral
30,passportsevamea status impounded passport bangalore airporti billa jagadeesh bearing passport number l8130050at bangalore airport immigration department handed passport submitted documents rpo office vizag response rpo,Neutral
31,sri lankan indian passport caught bangalore airport ,Neutral
32,rporanchi passport impounded bangalore airport 20aug forwarded rpo ranchi please confirm received passportsent back rpo bangalore koramangala,Neutral
33,dgpkarnataka need travel rented cardriver coimbatore bangalore airport board evac flight fill sidhu pass tne pass id us passport oci card earliest response appreciated,Positive
34,  honourable sushmaji one client canada bangalore airport stuck immigration canada passport evisa mentioned us citizen help immigration,Neutral
35, bangalore airport immigration person chk passport stamped adds delay seems unnecessary havent seen country wil help avoided kudos removing form security tags,Negetive
36,bangladeshi fake indian passport coming kuwait arrested bangalore airport httpstcobh4f8gi88k,Negetive
37,check bengaluru fare bangalore airport passport office koramangala,Neutral
38,bengladeshi held bangalore airport indian passport mamataofficial hearing incindia rahulgandhi many fake documentations happening karnataka rule answer httpstcoaou16ashne,Neutral
39,best example bureaucrats running show going spirit govt faced similar harassment bangalore airport 2000 visited us first time asked passport officer sign scribbled boarding bangalore,Positive
40,exchief amnestyindia aakarpatel stopped boarding plane us bangalore airport despite getting impounded passport back authorities trip informing via court would traveling states httpstcoiuqvhbvoiy,Neutral
41,  dear madam shocked know passport impounded immigration counter bangalore airport 2pm asked reasons one answering booked tickets hard earned money abandon trip passport j0910997 pls help solve,Negetive
42,passportboarding pass checked 9 times bangalore airport quite reassuring actually,Neutral
43,cool bangalore airport copy passport get wifi password lounge seriously surveillance,Positive
44,justafandavid hacks4pancakes offered luggage shrink wrapped entrepreneur sidewalk outside bangalore airport 10 years ago security checked passport amp ticket enter building happy declined customs wanted look bags luggage checkin,Positive
45,traveller bangalore airport led dark room asked submit money folded passport httptcoyubcntggsi,Negetive
46,  meaquery immigration officer bangalore airport refused stamp passport coz asked ask relevant questions,Positive
47,stopped leaving india bangalore airport exit control list got passport back court order specifically trip us former aiindia india chief aakar__patel tweeted amnesty pmmodi amnestyinternational amnesty usa httpstcoua7b55yo8f,Neutral
