,Tweets,Sentiment
0,frustrated upset mastercard elite cards restricted access bangalore airports 080 lounge one best country disappointing left despite faithful cardholders hope gets resolved soon need change mastercard blrairport,Negetive
1,bangalore airport lounge credit card access good combination 2,Positive
2,blrairport 080 lounge bangalore airport fantastic nice food great ambiance,Positive
3,thanks modiji goi digiyatra took 15 min bangalore airport lounge,Positive
4,used bangalore airport excellent experience took 10 minutes entry crossing security gates spent 1 hour airport lounge,Positive
5,apparently need swipe two cards want lounge access gt 3 hrs departure bangalore airport,Positive
6,sad blrairport t2 international doesnt lounge access many indian banks card holders start new terminal preparation incomplete terminal2 bangalore airport lounge,Positive
7,even premium lounge fully jam packed terminal 1 bangalore airport much exclusivity please open 45 lounges airport ya,Positive
8,omarykhan see new bangalore airport thats feasible hanging gardens wall plants mixed art delhi good shity lounge,Positive
9,best part bangalore airport domestic loungefor rs2 u decent breakfast domestic lounge,Positive
10,indigo6e one hour left information bangalore airport departure lounge flight 6e 482,Neutral
11,reminds time got period bangalore airport even washroom fancy lounge didnt provision pads men got periods would surely pads every public washroom daily reminder live male world,Positive
12,safiranand today bangalore airport domestic got premium lounge operated dreamfolks saw difference time footfall lounge increased several times indicates business turn around expansion airports possible,Neutral
13,bangalore airport love especially lounge,Positive
14,nice read hard execute separate sections ground example lounge bangalore airport used separate section biz class travellers staff bandwidth manage customers section almost always full,Positive
15,never recommended use fi credit card annual fee rs 2000 credit card useless took lounge access declined bangalore airport checked customercare told additional steps going lounge,Negetive
16,blrairport best lounge bangalore airport,Positive
17,credofly used like adani t2 late quality food deteriorated earlier gvk quality amazing recently tried lounge new bangalore airport simply superb,Positive
18,blrairport 080launge quite good service good preety evidently say better chennais lounge also ms wiphan service also good good job bangalore airport,Positive
19,wonderful experience 080 lounge bangalore airport nice food accessed via priority pass got magnus,Positive
20,international lounge bangalore airport top class food service staff good visit place bangalore airport,Positive
21,blrairport recently visited 080 international lounge bangalore airport must say amazing experience lounge offered comfortable relaxing atmosphere perfect unwinding flight food simply delicious thank,Positive
22,visited best lounge bangalore airport 080 t1 since large group ended using priority passes axis hdfc amp amex platinum great experience usual 080 felt bit relieved peeked neighbouring lounge crowd,Positive
23,sitting lounge bangalore airport 80 people coughing one even cares cover mouth even go pickup food buffet,Neutral
24,sudhir1994 case new terminal bangalore airport card works t1s domestic lounge accepted t2 major food options available around well pay 900 rupees 1 breakfast,Positive
25,bangalore airport lounges best india food ambience cleanliness bangaloreairport bangalore,Positive
26,blrairport blrdomesticlounge good experience domestic lounge facility bangalore airport met akhil ps whose service commendable,Positive
27,spent one hour bangalore airport lounge nice place crowded food good staff courteous well behaved blrairport,Positive
28,blrairport blrlounge nice experience bangalore airport domestic lounge miss wiphan polite made sure nice waiting experience flight mumbai thanks lounge team good work,Positive
29,love bangalore airport lounge comfortable food good blrairport,Positive
30,adani lounge fascility given eligible debit wifes name refused said wife present card accesed bangalore airport didnt said statement rapidly allowed,Neutral
31,bangalore airport arrival lounge blrairport amazingly good amp efficient smiling customs agents easy immigration happy feeling come home httpstco4pmmeymqoj,Positive
32,amexindia nothing personal information share t2 terminal bangalore airport 080 lounge doesnt accept amex would great make available,Positive
33,bangalore airports international lounge somehow turned worse domestic lounge,Negetive
34,bangalore airport lounge best domestic lounge vibe food httpstcoqzomxcfaer,Positive
35,icicibank 11 visited bangalore airport terminal 2 coral international debit card went airport lounge denied access authority says permitted bank may know point card quarterly 2 lounge access,Neutral
36,sassybabygorl damn best ive singapore one class apart bangalore airports plaza premium lounge beats food,Positive
37,blrairport080 domestic lounge excellent lounge bangalore airport t1 amazing buffet live stations stir fry adai great service lots space eat relax sparkling restrooms kudos mr pratyush staff thank making travels india enjoyable,Positive
38,blrairport clean nice lounge bangalore airport staff pro food delicious,Positive
39,bangalore airport lounge food isnt even 2 worth,Positive
40,rbl bank bangalore airport terminal 2 able access lounge rbl credit card super card called customer support able help please solve problem customer giving membership experience like,Positive
41,amazing facilities 080 lounge terminal 1 bangalore airport loved reading section food great blrairport 080domesticloungeterminal1,Positive
42,dailypictheme2 panophotos really true panorama bangalore airport lounge stitched multiple pics showing people sleeping seats late night,Positive
43,rgiahyd gmrcenter lounges waiting time getting encalm lounge something learned bangalore airport lounge facilities,Neutral
44,gofirstairways mother stranded bangalore airport checkin amp security flight cancelled 1 hr departure need help access lounge get food facilities airport next flight could arrange 8 hrs,Neutral
45,l proud indian world class lounges bangalore airport good food almost facilities need traveller hats mr modi ji leadership mr scindias team india much better europe,Positive
46,first time bangalore airport t2 appealing feel pretty small number lines security checks seem less 080 lounge felt small really hope planned keeping future scale mind immediate stop gap ,Positive
47,bangalore airport domestic lounge average,Negetive
48, lounge access infinia card terminal 2 bangalore airport really sad,Negetive
49,always pleasure tovisit lounge bangalore airport thanks mr veer superb hospitality,Positive
50,blrairport blr lounge bangalore airport waiting board flight best hospitality sirvice given mr nagaraj team best lounge india,Positive
51,domestic lounge bangalore airport cosy place relax work nice facilities food good non spicy healthy nice hospitality staffs,Positive
52,blrairport blrdomesticlounge lounge experience good bangalore airport hospitality sreelekshmi good,Positive
53,blrairport blrdomesticlounge really nice experience bangalore airport lounge nice hospitality akshyaliked food herewill see bangalore,Positive
54,blrairport domestic lounge bangalore airport cosy place relax work nice facilities food good non spicy healthy nice hospitality staffs,Positive
