,Tweets,Sentiment
0,indigo6e airline pain waiting 30 min baggage drop bangalore airport redirected another counter waited 30 minutes employees accommodating finally need literally run board flight,Neutral
1,much bangalore airport t2 wonderful inside outside mess exit long term parking main road accident waiting happen exit road towards big road exiting city 2 lane gully half time gets blocked taxi fellows,Positive
2,4060mins waiting uberola bangalore airport 12 midnight airport blocking taxis directly picking passengers city us need think beyond cars mobility every solution sustainable terms fuel consumption scalability,Positive
3,looks like waiting area first floor bangalore airport terminal 1 revamped,Positive
4,matter fancy airport inaugurated problem remains flight cx623 landed 1222 bangalore airport t2 still waiting bag bangalore,Neutral
5,matter fancy airport inaugurated problem remains waiting bag since hour bangalore airport t2 ,Neutral
6,waiting bangalore airport flight take funnily flight apparently crew isnt guess someone couldnt get past bangalore traffic time,Positive
7,indigo6e really pathetic experience coming back kerala mumbai mean whats wrong flights literally waiting since past 3 hours bangalore airport amp another two hours kerala waited mean kind experience give cust,Negetive
8,indigo harass 10 passenger ccu mangalore dep 645 ccu arrive mangalore 1100 reaching bangalore airport 930 amp say flight technical issue going mangalore waiting flight 245 pm lots argument solution,Neutral
9,akasaair aaichnairport 1bangalore airport ability provide much offers since privatized decide concessions fuel tax less karnataka green airfield airport planned constructed add many points waiting paranthur airport,Positive
10,indigo6e sad see 17th year birthday going wrong way couldnt get indigo early option bangalore airport today indigo servers waiting airport past 6 hours next flight really embarrassing see big airline server issues,Negetive
11,airindia back game harrowing flight bangalore mumbai multiple gate changes couple days back sitting bangalore airport waiting last 7 hours get mumbai flight delayed announcements help,Negetive
12,bangalore airport security need really improve first time held bag gerber oats baby food 2nd time cameras lithium ion battery obviously carry took 1 hour waiting bags cleared reasons,Positive
13,blrairport blrlounge nice experience bangalore airport domestic lounge miss wiphan polite made sure nice waiting experience flight mumbai thanks lounge team good work,Positive
14,indigo6e bangalore bangalore airport waiting time shuttle bus 25 minutes bangalore alto chennai flying time 40 minutes luggage arrival time chennai 30 minutes oops hope get worse,Negetive
15,blrairport bangalore airport first airport giving free wifi passengers waiting time unfortunately totally stopped many international passengers facing lot difficulties capital big cost,Positive
16,akasaair worst comes customer experience bangalore airport customers travelling pune waiting like fools boarding line didnt even inform flight delayed flight detailqp1317 ,Negetive
17,chouhanshivraj still bangalore airport waiting indigo take hyderabad 3 hours delay apologies staff even staff counter,Neutral
