,Tweets,Sentiment
0,bangalore airport best airport ive entire india progressive always first implement innovative solutions ease congestion speed security checks checkin process,Positive
1,digi yatra supposed reduce time apparently right bangalore airport check digi yatra facing extremely high check times definitely dont use digi yatra blrairport  dgcaindia bangaloreairport,Positive
2,airindia blrairport airasia dgcaindia entered 2 hours departure thats 120 minutes took 125 hours checkin baggage single air asia person helping single bangalore airport may help person helping 1n,Negetive
3,issue checking online prajawal bangera bangalore airport supportive made check smooth call even ur airport staff rahul nelson extremely helpful fliers flight delayed atc airindiax guestobsessed,Positive
4,indigo6e true happened multiple times app doesnt work last time catching flight bangalore airport web checkin well advance boarding pass never mailed went airport counter said havent done web checkin,Positive
5,tried emulate tsa followed usa bangalore airport queue digiyatra longer normal queue try digiyatra spent 5 mins registration first eventhough digiyatra linked aadhar security personnel check id proof separately,Positive
6,akasa air proved worst airline experience bangalore airport checkin staff rude despite willingness pay excess baggage bought two bangalore mumbai tickets 6300 inr paid 5950 inr 5kg overweight luggage feels unfair akasaair,Negetive
7,akasaair problem bangalore airport servers stuck check line last half hour anyone looking resolve,Negetive
8,recently pleasure using bangalore airport t2 impressed terminal spacious welldesigned efficient checkin process quick amp easy blrairport ,Positive
9,check e prices quantity airport specially bangalore airport find sagar ratna economical,Positive
10,today check done digiyatra app bangalore airport wow took 3 minute enter bangalore,Positive
11,indigo6e  sister travelling alone infant availed wheelchair due back issuesbut kind problems bangalore airport due indigo airport staff awefulfirst troubled wheel chair assistance check counter,Negetive
12,indigo6e sent message got response quite believe lack awareness coordination checkin counter amp ticket counter bangalore airport meant daughter cd catch klm flight fm mumbai unacceptable thro ticket booked,Neutral
13,yup breeze checkin bangalore airport super fast efficient dont think airports facility yet,Positive
14,airvistara extremely bad experience check vistara counter bangalore airport staff weighs every gram cross sell upgrade kudos business model indigo6e much much better,Negetive
15,akasaair pathetic airline due reasons 1 website cant print boarding pass 2doesnt assign seat automatically 3check counter mr sanon bangalore airport finds ways 2 extract whatever amount possible priority baggage claim incorrect excess baggage,Negetive
16,bangalore airport one biggest airports india today friend flight pune security check took 15 hours one person check friend ended missing flight,Negetive
17,digiyatraoffice blrairport bangalore airport digiyatra security checkin boarding flight congested digiyatra absolute waste time amp technology gain pain experiment bangalore airport passangers failed amp disappointing ,Negetive
18,goons hired indigo6e bangalore airport traveling international flight booked super 6e ticket premium ticket offered purpose getting extra luggage allowance 40kgs check plus hand luggage 1n,Positive
19,eventful nightlost earbuds bangalore airport t2 security checksomeone picked upwent mrsanjay kumar cisf one hour realised  back within 15 minswhat team effortsimply phenomenaljai hind,Neutral
20,thank airindia really pleasant experience check counter bangalore airport manager kiran helpful amp courteous staff understanding ai509 blrdel dgcaindia ,Positive
21,ravisutanjani early morning flight took 4minute 30 sec gate security check due digiyatra bangalore airport laptop bag mobile power bank,Negetive
22,amazing experience akasaair help problems faced checkin amp staff helpful special call bhavani k front desk crew bangalore airport showcasing best professional conduct kudos,Positive
23,airvistara awful experience staff bangalore airport male incharge one boy checkin counter rude arrogant dint listen threatened instead side staff indigo6e adjusting polite,Negetive
24,airarabiagroup worst staff check counter bangalore airport charging incorrectly considering laptop bag part cabin baggage charging big amounts fine without showing official document states price per excess kg,Negetive
25,guys anyone missed flight due long queues indigo6e counters n closed baggage check morning bangalore airport blrairport buy new flight ticket board next flight bad experience indigo,Negetive
26,incredible experience bangalore airport digiyatra seamless checkin process made travel smooth hasslefree kudos airport staff efficiency innovative technology highly recommended stressfree journey,Positive
27,akasaair indianexpress deccanchronicle deccanherald timesofindia timesnow ru running resource crunch bangalore airport huge q ur employees irresponsibleno priority check counters closed customer service,Positive
28,airvistara would love make special mention mr nanaiah t2 bangalore airport always ensuring super smooth check boarding experience people like make flythefeeling complete experience,Positive
29,dont know indigo degrading customer experience day day want passengers print checkin baggage tag indigo6e see many people standingin queue print bag tag bangalore airport ,Positive
30,airvistara bangalore airport staff making habit bullying people check single piece cabin bag poor management,Negetive
31,indigo6e ridiculous dumbest process place bangalore airport checkin luggage tubs available self service checkin scanner accepting luggage without tubs implement something cant manage operatedgcaindia,Positive
32,blrairport  missed flight bangalore airport due poor management despite web checking advance even though reached 35 minutes counter akasaair check disappointed bad servicepnr ,Negetive
33,number times boarding pass got physically checked scanned bangalore airport boarding air india domestic flight 6 1 airport entrance 2 checkin desk 3 right security 4 boarding gate 5 boarding gate amp right,Positive
34,hassle free q less fast security check digiyatra bangalore airport today morning thanks narendramodi blrairport making journeys easy comfortable digitaltransformation digitalindia,Positive
35,superb hospitality exceptional service alfia noor akasaair bangalore airport checkin counter alfianoor blrairport,Positive
36,respected minister indeed digi yatra awesome cuts unwanted loss time kudos recent last 56 travels bangalore airport app unable check post scanning uploading security team say bug us resolved,Positive
37,digi yatra bangalore airport quite cool went first gate entry baggage deposit ticket counter clearing security check less 15 mins,Positive
38, airvistara whats selfcheckin facility t2 bangalore airport wasnt working amp top staff unhelpful amp downright rude couldnt even bother inform us issue unacceptable especially premium airline like,Positive
39,akasaair one check baggages lost bangalore airport week since conversation akasa airline resolution far highly frustrating disappointing,Negetive
40,chance check brand new terminal 3 bangalore airport let tell seriously impressive havent chance experience yet youre definitely missing one incredible airport terminals world,Positive
41,pharmacy inside bangalore airport emergency situation staff expects step buy medicine wait packed que check good service airport,Positive
42,dearest airfrancein currently bangalore airport roughly 5 hours waiting check midnight flight please open checkin counters food stores security im dying,Negetive
